algorithm_1,algorithm_2,jaccard,nmi,nvi
louvain,greedy,0.30434839239080175,0.45171404032742873,0.24880509593512234
louvain,leiden,0.6178905762429789,0.7403462175476628,0.13853170906752435
louvain,infomap,0.47306244493686095,0.6579028555046007,0.2248310532379508
louvain,DCSBM,0.0977521619101596,0.5153935637649261,0.38943597736254965
greedy,leiden,0.3216345307989548,0.4832279603963276,0.23369576847085213
greedy,infomap,0.23583190257825687,0.47498297060976447,0.3023633504872943
greedy,DCSBM,0.05646600518575599,0.38445529448305726,0.44461430417160175
leiden,infomap,0.4688511081233465,0.6865411229399903,0.20551903700504487
leiden,DCSBM,0.09683373688101171,0.5306781238816706,0.3764186474717458
infomap,DCSBM,0.14980786059430048,0.6747283052360543,0.30111613955855704
